annee	trimestre	Compensation of employees	Wages and salaries	Employers' social contributions	Gross operating surplus	Net operating surplus: corporations	Consumption of fixed capital: corporations	Consumption of fixed capital: general governments and non-profit institutions serving households	Gross mixed income	Net mixed income	Consumption of fixed capital: unincorporated businesses	Taxes less subsidies on production 1	Taxes less subsidies on products and imports 1	Statistical discrepancy	Gross domestic product at market prices
1961	1	20540	19540	1000	8596	4272	3204	1120	6412	4872	1540	1856	2800	468	40672
1961	2	20944	19924	1020	9276	4872	3276	1128	6428	4920	1508	1848	2792	280	41568
1961	3	21460	20408	1052	9880	5388	3336	1156	6744	5240	1504	1876	2792	-72	42680
1961	4	21788	20712	1076	9912	5340	3384	1188	6768	5264	1504	1928	3096	-16	43476
1962	1	22180	21112	1068	10084	5460	3416	1208	7328	5820	1508	1988	3236	-120	44696
1962	2	22668	21572	1096	10244	5516	3460	1268	7212	5688	1524	2028	3268	-220	45200
1962	3	23032	21908	1124	10140	5292	3508	1340	7448	5888	1560	2008	3472	44	46144
1962	4	23264	22124	1140	11000	6064	3548	1388	7544	5960	1584	2056	3256	104	47224
1963	1	23568	22408	1160	10600	5560	3620	1420	7820	6204	1616	2076	3448	156	47668
1963	2	24028	22840	1188	11260	6100	3672	1488	7976	6328	1648	2112	3304	-36	48644
1963	3	24552	23332	1220	11236	5968	3728	1540	8016	6336	1680	2172	3472	-4	49444
1963	4	25124	23860	1264	12072	6712	3784	1576	8344	6640	1704	2268	3580	64	51452
1964	1	25668	24392	1276	12400	6948	3864	1588	8212	6468	1744	2316	3748	308	52652
1964	2	26124	24816	1308	12664	7132	3904	1628	8340	6580	1760	2320	4112	-44	53516
1964	3	26968	25604	1364	12888	7196	4004	1688	8252	6444	1808	2400	4104	64	54676
1964	4	27556	26148	1408	13020	7168	4108	1744	8332	6488	1844	2420	4036	60	55424
1965	1	28372	26900	1472	13216	7228	4216	1772	8692	6800	1892	2516	4308	260	57364
1965	2	29040	27524	1516	13616	7412	4344	1860	8812	6860	1952	2548	4608	140	58764
1965	3	30016	28436	1580	13680	7252	4484	1944	9008	7008	2000	2604	4768	96	60172
1965	4	31092	29444	1648	14568	7932	4620	2016	9240	7184	2056	2672	4760	0	62332
1966	1	32184	30200	1984	14772	7968	4764	2040	9796	7692	2104	2808	4824	44	64428
1966	2	33088	31036	2052	14992	7936	4924	2132	10052	7880	2172	2816	5204	440	66592
1966	3	33844	31720	2124	14616	7312	5088	2216	10272	8052	2220	2892	5284	556	67464
1966	4	34916	32716	2200	15496	7968	5252	2276	10352	8084	2268	2928	5128	-64	68756
1967	1	35916	33732	2184	15188	7504	5408	2276	9904	7584	2320	3104	5508	-36	69584
1967	2	36748	34488	2260	15908	8000	5556	2352	10084	7724	2360	3216	5712	172	71840
1967	3	37552	35208	2344	15856	7756	5680	2420	10100	7704	2396	3196	5620	160	72484
1967	4	38052	35664	2388	16460	8236	5768	2456	10180	7760	2420	3224	5660	164	73740
1968	1	38712	36252	2460	16576	8196	5908	2472	10668	8192	2476	3460	5944	48	75408
1968	2	39776	37228	2548	17648	9192	5940	2516	10828	8344	2484	3500	5912	96	77760
1968	3	40648	38020	2628	17852	9200	6052	2600	11124	8596	2528	3628	5956	336	79544
1968	4	42052	39316	2736	18456	9616	6176	2664	11228	8644	2584	3608	6348	-128	81564
1969	1	43408	40636	2772	18648	9616	6356	2676	11736	9092	2644	3808	6660	-384	83876
1969	2	44340	41496	2844	19136	9844	6528	2764	11844	9144	2700	3928	6800	-484	85564
1969	3	45644	42692	2952	19024	9440	6720	2864	12124	9372	2752	3904	6724	-196	87224
1969	4	46868	43820	3048	19464	9640	6908	2916	12252	9464	2788	4056	6544	224	89408
1970	1	48020	44908	3112	20168	10108	7092	2968	12512	9700	2812	4148	6580	32	91460
1970	2	48240	45092	3148	20084	9732	7300	3052	12376	9524	2852	4348	6968	268	92284
1970	3	49092	45884	3208	20392	9744	7492	3156	12492	9588	2904	4280	7140	800	94196
1970	4	50052	46780	3272	19776	8876	7668	3232	12812	9852	2960	4376	7144	844	95004
1971	1	51060	47720	3340	19928	8852	7824	3252	13072	10048	3024	4520	7124	684	96388
1971	2	53132	49660	3472	21200	9836	7996	3368	13336	10240	3096	4596	7664	492	100420
1971	3	54404	50844	3560	22376	10700	8172	3504	13808	10640	3168	4660	7764	724	103736
1971	4	55628	51968	3660	23304	11384	8332	3588	14244	11012	3232	4692	8064	596	106528
1972	1	57360	53520	3840	23400	11184	8600	3616	13992	10644	3348	4934	8494	76	108256
1972	2	58872	54888	3984	24912	12516	8692	3704	14772	11360	3412	4990	8502	316	112364
1972	3	60760	56608	4152	24672	11948	8888	3836	14892	11352	3540	4994	9194	-20	114492
1972	4	63440	59056	4384	26308	13284	9092	3932	15588	11908	3680	5194	9274	-420	119384
1973	1	66048	61632	4416	28048	14712	9368	3968	16456	12616	3840	5257	9503	-452	124860
1973	2	68128	63516	4612	29728	15828	9724	4176	17708	13684	4024	5373	9739	-524	130152
1973	3	69580	64820	4760	31116	16480	10188	4448	18204	13996	4208	5597	10407	-252	134652
1973	4	73212	68172	5040	33316	17844	10752	4720	19368	14972	4396	5713	11131	-84	142656
1974	1	77076	71528	5548	35096	18816	11380	4900	19664	15064	4600	6025	12147	-584	149424
1974	2	80020	74208	5812	37972	20656	12080	5236	20488	15664	4824	6121	12119	-632	156088
1974	3	84696	78476	6220	38968	20620	12792	5556	21000	15936	5064	6197	12407	-884	162384
1974	4	88492	81936	6556	38404	19152	13476	5776	21784	16472	5312	6201	11339	-892	165328
1975	1	90844	84008	6836	37468	17512	14128	5828	22388	16824	5564	6642	10822	-592	167572
1975	2	94596	87424	7172	39056	18268	14744	6044	23188	17376	5812	7182	9990	-264	173748
1975	3	98656	91104	7552	42536	20996	15300	6240	24232	18188	6044	7298	9998	-392	182328
1975	4	101128	93356	7772	45392	23260	15772	6360	24564	18316	6248	7326	10370	-248	188532
1976	1	105944	97616	8328	46040	23272	16372	6396	25436	18936	6500	8283	11937	-1352	196288
1976	2	111132	102304	8828	48644	25460	16676	6508	25840	19244	6596	8447	13021	-816	206268
1976	3	111248	102212	9036	49336	25440	17188	6708	26104	19352	6752	8775	12945	56	208464
1976	4	117324	107768	9556	47292	22720	17720	6852	26468	19576	6892	9079	13309	-464	213008
1977	1	119164	109368	9796	50056	24900	18308	6848	27020	19980	7040	9582	13814	256	219892
1977	2	122428	112316	10112	50704	24704	18928	7072	27904	20704	7200	9790	13514	432	224772
1977	3	124724	114328	10396	51544	24692	19556	7296	28268	20876	7392	9890	14102	1176	229704
1977	4	127244	116612	10632	53492	25884	20164	7444	29168	21580	7588	10282	14598	1164	235948
1978	1	129320	118252	11068	55572	27448	20700	7424	30516	22720	7796	11270	13678	940	241296
1978	2	132628	121220	11408	58876	29808	21412	7656	31620	23572	8048	10606	14918	0	248648
1978	3	135464	123740	11724	61468	31380	22176	7912	32848	24572	8276	10734	14130	532	255176
1978	4	139448	127348	12100	63648	32564	22976	8108	34072	25568	8504	11242	15442	-796	263056
1979	1	143504	131224	12280	65548	33524	23892	8132	34776	26040	8736	11800	14780	944	271352
1979	2	148496	135740	12756	72152	38880	24844	8428	35484	26472	9012	11124	15856	1004	284116
1979	3	153668	140416	13252	76136	41540	25856	8740	37568	28264	9304	11212	15296	-980	292900
1979	4	158112	144460	13652	79140	43272	26884	8984	38260	28652	9608	11660	15216	-464	301924
1980	1	163180	149656	13524	81444	44152	28168	9124	38372	28344	10028	13143	14437	-820	309756
1980	2	167252	153296	13956	83836	45384	29072	9380	38924	28688	10236	12935	14285	-24	317208
1980	3	172616	158180	14436	82560	42444	30352	9764	41088	30560	10528	12883	14421	1152	324720
1980	4	179520	164476	15044	85288	43516	31684	10088	43704	32936	10768	13475	16353	964	339304
1981	1	187012	170860	16152	87956	42820	34408	10728	44476	33916	10560	15096	20080	1372	355992
1981	2	194668	177776	16892	89272	43124	35240	10908	45456	34612	10844	15532	22192	872	367992
1981	3	200080	182676	17404	87300	40068	36132	11100	45636	34432	11204	15788	24440	-424	372820
1981	4	205360	187476	17884	84600	36460	36852	11288	46372	34808	11564	16280	24348	-332	376628
1982	1	209508	191216	18292	82756	31100	39684	11972	47164	35312	11852	17436	25184	956	383004
1982	2	210760	192380	18380	86936	34700	40048	12188	48696	36552	12144	17812	22136	176	386516
1982	3	209084	190608	18476	88620	35848	40408	12364	50120	37704	12416	17488	23172	1076	389560
1982	4	211244	192488	18756	89448	36080	40812	12556	50176	37524	12652	17924	22804	2048	393644
1983	1	212724	193392	19332	96656	42880	41148	12628	50332	37644	12688	19788	21712	2024	403236
1983	2	218860	198832	20028	101392	46940	41616	12836	51440	38568	12872	19544	23240	1328	415804
1983	3	223236	202712	20524	108748	53604	42072	13072	52736	39704	13032	19380	24308	552	428960
1983	4	226548	205616	20932	113276	57336	42624	13316	53696	40408	13288	19704	23720	320	437264
1984	1	229856	208680	21176	116576	59696	43392	13488	55284	41720	13564	20144	25528	452	447840
1984	2	235020	213320	21700	122252	64556	43888	13808	56932	43060	13872	20060	25160	128	459552
1984	3	239832	217588	22244	122424	64044	44332	14048	58252	44148	14104	19720	23860	1092	465180
1984	4	244472	221744	22728	124624	65604	44736	14284	58348	44016	14332	20124	27036	768	475372
1985	1	249036	225648	23388	128852	68236	45996	14620	59796	45248	14548	20660	28532	-780	486096
1985	2	253428	229672	23756	130692	69260	46588	14844	61396	46628	14768	21284	29048	-496	495352
1985	3	258268	234080	24188	132504	70300	47088	15116	62632	47796	14836	21172	28240	1056	503872
1985	4	262864	238212	24652	139088	75836	47884	15368	63884	48764	15120	20868	28664	-580	514788
1986	1	266436	241724	24712	131204	66832	48952	15420	65728	50536	15192	21544	32752	948	518612
1986	2	270516	245324	25192	128076	62848	49576	15652	67120	51740	15380	22472	34344	1316	523844
1986	3	274472	248872	25600	128336	62088	50352	15896	68344	52712	15632	23008	36308	-248	530220
1986	4	279912	253772	26140	127104	60196	50832	16076	68688	52892	15796	23260	33556	1324	533844
1987	1	286528	259860	26668	135436	68108	51140	16188	69824	53608	16216	24108	36396	192	552484
1987	2	293732	266360	27372	142528	74200	51948	16380	70700	54100	16600	24836	36872	-1248	567420
1987	3	299128	271176	27952	147220	77608	53036	16576	71292	54080	17212	25592	40112	-1664	581680
1987	4	306768	278020	28748	150264	79648	53828	16788	73124	55712	17412	25872	41176	-1444	595760
1988	1	315664	286280	29384	152564	80904	54600	17060	75456	57944	17512	26176	42280	-1192	610948
1988	2	322440	292332	30108	150496	77356	55740	17400	78128	59988	18140	26928	44184	-1008	621168
1988	3	328240	297480	30760	151788	77208	56888	17692	79584	61052	18532	26696	45820	-736	631392
1988	4	335088	303704	31384	153660	77712	57984	17964	81488	62608	18880	27556	47456	-1180	644068
1989	1	341748	310812	30936	156672	78856	59472	18344	83108	63736	19372	28496	48956	-2820	656160
1989	2	348980	317280	31700	155476	76356	60476	18644	84124	64556	19568	29912	51892	-592	669792
1989	3	353472	321144	32328	156836	76216	61680	18940	85932	66000	19932	30452	51740	700	679132
1989	4	359240	326100	33140	152588	70480	62888	19220	87380	66812	20568	31224	51772	-972	681232
1990	1	364680	329668	35012	151740	68000	64060	19680	89280	68496	20784	33960	52736	-468	691928
1990	2	369808	333740	36068	149616	64728	64912	19976	89556	68580	20976	35192	52316	-864	695624
1990	3	371316	334556	36760	148692	62744	65684	20264	90268	69024	21244	36204	51608	-404	697684
1990	4	374212	336416	37796	153392	66212	66616	20564	90404	68920	21484	36532	42772	-544	696768
1991	1	376136	336568	39568	138332	54388	64088	19856	91496	69932	21564	37144	50628	272	694008
1991	2	378680	337908	40772	139176	54068	64980	20128	93360	71564	21796	37852	52028	476	701572
1991	3	382476	339188	43288	139184	52936	65816	20432	94036	71916	22120	36968	50820	1312	704796
1991	4	385104	341200	43904	136144	48904	66536	20704	94232	72084	22148	38096	51776	1364	706716
1992	1	386156	340548	45608	133664	46104	66656	20904	95632	73356	22276	38108	54544	1904	710008
1992	2	389180	342808	46372	137840	49248	67360	21232	96236	73692	22544	39156	51412	920	714744
1992	3	390964	344156	46808	139384	50368	67580	21436	97028	74524	22504	38948	54264	1072	721660
1992	4	392728	345380	47348	141108	51268	68176	21664	98144	75368	22776	40684	53256	1412	727332
1993	1	394972	346492	48480	144732	55024	68464	21244	98372	75388	22984	41780	54576	-480	733952
1993	2	395812	346760	49052	153616	63364	68784	21468	100704	77364	23340	41348	54200	-320	745360
1993	3	397616	348144	49472	152612	61708	69224	21680	101880	78192	23688	41492	55020	1448	750068
1993	4	398064	348076	49988	158416	66664	69808	21944	102676	78600	24076	41168	57724	720	758768
1994	1	400212	350060	50152	169120	74688	71936	22496	104132	79520	24612	42476	57944	-1228	772656
